https://www.hotpepper.jp/strJ001238546/?vos=nhppalsa000016,Pizza House イタリコ 大丸神戸店,050-5258-2568,1501～2000円,https://imgfp.hotp.jp/IMGH/41/32/P035144132/P035144132_69.jpg,0,23,イタリアン・フレンチ,【ランチセット】選べる窯焼きピッツァorパスタ＆前菜サラダ・ドリンクバーセット！,1980
https://www.hotpepper.jp/strJ001215477/?vos=nhppalsa000016,貸切×食べ飲み放題×肉バル Restaurant MARC 三宮,050-5453-5473,2001～3000円,https://imgfp.hotp.jp/IMGH/28/59/P037012859/P037012859_69.jpg,0,0,ダイニングバー・バル,2Ｈ食飲み放題★居酒屋×イタリアン全100種超3500円⇒2980円(+税),2980
https://www.hotpepper.jp/strJ001265499/?vos=nhppalsa000016,夜景ダイニング×肉バル 三宮テラス 三宮本店,050-5265-7197,2001～3000円,0,0,0,イタリアン・フレンチ,濃厚チーズと甘辛チキンの融合♪【UFOチョアチキン食べ放題コース】全5品3480円⇒,2480
https://www.hotpepper.jp/strJ001238805/?vos=nhppalsa000016,塊肉チーズ×イタリアン Grill Mart - グリルマート - 三宮店,050-5258-2727,2001～3000円,https://imgfp.hotp.jp/IMGH/97/50/P035419750/P035419750_69.jpg,0,6,イタリアン・フレンチ,当店イチオシ！1番人気♪【窯焼き風ピッツァから選べるパスタなど全9品】2時間飲み放題付⇒,3480
https://www.hotpepper.jp/strJ001194987/?vos=nhppalsa000016,クラフトビール×夜景×チーズ肉バル ＧＡＲＤＥＮ 三宮,050-5347-0830,3001～4000円,https://imgfp.hotp.jp/IMGH/57/75/P030085775/P030085775_69.jpg,0,7,居酒屋,【営業再開記念！】500キャンぺーン♪⇒1時間飲み放題500円でご提供！飲み放題+アラカルトプラン,500
https://www.hotpepper.jp/strJ001267132/?vos=nhppalsa000016,個室 鶏＆チーズバル ToRichi トリッチ 三宮店,050-5280-8714,2001～3000円,https://imgfp.hotp.jp/IMGH/99/99/P035419999/P035419999_69.jpg,0,0,イタリアン・フレンチ,お得！肉×チーズ女子会プラン♪【熟成ローストビーフフォンデュ食べ放題コース】全6品⇒3480円,2480
https://www.hotpepper.jp/strJ000829566/?vos=nhppalsa000016,Cafeterrace & Bistrobar Mark Place,050-5841-5783,5001～7000円,https://imgfp.hotp.jp/IMGH/54/73/P026575473/P026575473_69.jpg,0,18,イタリアン・フレンチ,"【記念日】イタリアン・ディナー☆お二人様で11,000円【乾杯スパークリング付】",11000
https://www.hotpepper.jp/strJ001152763/?vos=nhppalsa000016,罠:TRAPPOLA (トラッポーラ),050-5283-6668,3001～4000円,https://imgfp.hotp.jp/IMGH/02/25/P025150225/P025150225_69.jpg,0,45,ダイニングバー・バル,【テイクアウトの罠】貯めたポイントを使って前日までのNET予約でお得にテイクアウト♪,0
https://www.hotpepper.jp/strJ001234716/?vos=nhppalsa000016,肉とチーズのバル MEAT HOLIC,050-5451-3656,3001～4000円,https://imgfp.hotp.jp/IMGH/25/79/P036472579/P036472579_69.jpg,0,9,居酒屋,席のみ予約,0
https://www.hotpepper.jp/strJ001177147/?vos=nhppalsa000016,肉バル×貸切×食べ飲み放題 Helianthas 三宮,050-5453-5484,3001～4000円,https://imgfp.hotp.jp/IMGH/28/90/P037012890/P037012890_69.jpg,0,1,ダイニングバー・バル,【居酒屋×イタリアン】ポピュラー食べ飲み放題全100種超食べ飲み放題4000円⇒3500円税込,3500
https://www.hotpepper.jp/strJ001041790/?vos=nhppalsa000016,THE ROOFTOP CAFE,050-5877-7134,3001～4000円,https://imgfp.hotp.jp/IMGH/07/01/P037120701/P037120701_69.jpg,0,51,イタリアン・フレンチ,《ロティサリーチキンがメイン》シェアコース 2H飲み放題付きプラン4000円（税込）,4000
